A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,label
0.739187931,-0.261076179,0.842956822,-0.279447763,-0.218543762,-0.385618978,0.257880461,0.216713105,-0.121017496,-0.226425776,0
1.04119111,-0.395614171,0.218616632,-0.043884331,0.302995213,-0.371255639,0.068268472,0.317082826,-0.121053826,-0.087947205,0
1.141750088,-0.398647242,-0.045733728,-0.046364313,0.439771239,-0.301924365,0.047275429,0.188590051,-0.160037048,0.084660833,0
-0.272070042,-0.903168221,-0.242192218,0.058484185,0.300260091,-0.608356497,0.139164872,-0.411549362,0.311684374,0.326606128,0
-0.571584228,-0.877272907,0.276823888,0.722619202,-0.182831287,-0.373163461,-0.062118384,-0.266136113,0.234655861,0.060180394,0
-0.5909599,-0.673784943,0.228398151,0.003302278,0.364009573,-0.326795109,-0.080057058,0.178600195,-0.059879251,-0.092822464,0
-0.647924133,-0.740839908,0.515325168,0.255134265,0.340084706,-0.373314512,0.48368698,0.099334171,-0.031085313,-0.199359084,0
-0.249176222,-0.597810663,-0.241470469,-0.507999671,-0.176741959,-0.18615127,0.565492682,0.105667107,-0.08715483,0.110555877,0
-0.306976844,-0.600299496,-0.118938018,-0.256631166,-0.004084346,-0.11941117,0.597566957,0.240641571,0.088884452,0.152679533,0
-0.66564094,-0.653515962,0.61902848,-0.029787034,-0.044812657,-0.425147723,0.506776898,0.138415798,0.105957868,-0.18003646,0
-0.491225755,-0.572495263,0.229872231,-0.234908431,-0.136251926,-0.344361053,0.580560418,0.307786594,0.127465156,0.118092133,0
-0.477092922,-0.780667997,0.243198658,0.169813587,0.376089139,-0.424396469,0.422460058,-0.035463132,-0.018073471,-0.207190848,0
-0.5407433,-0.585706121,0.318351734,-0.249381038,-0.149990034,-0.383080001,0.579396367,0.198616273,0.03908584,0.030032441,0
-0.386610725,-0.814408814,0.093623321,0.14721121,0.358678927,-0.428411755,0.473041103,0.180845851,0.099352668,-0.11176067,0
