A0,A1,A2,A3,A4,A5,A6,A7,A8,A9,label
-0.186249788,-1.190451308,-0.76634782,0.326554799,0.423178665,-0.580548716,-0.026364402,0.143338943,-0.257948216,-0.097621698,0
-0.412628293,-1.654297849,-0.199217819,-0.419618949,-0.171270115,-0.267586339,-0.336854276,-0.03300377,0.173121819,-0.319439845,0
1.822367227,0.306279243,-1.048301864,-0.712131451,0.122103557,0.551679682,0.393058058,0.294827997,0.167009378,0.295086375,0
1.184916408,-0.603491942,-1.269198997,-1.036531342,0.488309534,-0.192010688,-0.453180882,-0.139258392,0.427432989,0.083279287,0
-1.223689634,-1.03825483,-0.084561772,-0.092567201,-0.052813734,0.190096375,1.55254442,0.239797357,0.122685939,-0.086464787,0
-0.671691726,0.137270998,0.466067603,-0.970948716,-0.291668847,-1.457660647,0.62037631,-0.144263971,-0.271871758,1.000203015,0
-0.004416446,-1.400308956,-0.687393292,-0.701538537,-0.589476498,0.864624292,1.017866362,-0.648829992,0.504888173,-0.542437437,0
0.579158332,1.979300271,1.467652843,0.139135744,1.32278745,-0.301058662,0.079629679,-0.089562444,-0.021196271,0.387307891,0
0.562189899,0.756140668,-1.336283634,-1.374125732,0.106684161,0.653240161,0.845611841,-0.091002086,0.086384935,0.082323615,0
0.751990114,-0.64085178,-0.640221912,-0.968200916,0.759209785,0.525205379,0.94236247,0.215551139,0.356173804,-0.757258393,0
0.952592683,-0.074320522,-1.020302859,-0.386230202,1.056575887,0.419768963,1.202111859,0.739020895,0.125451693,0.098138581,0
-1.402929935,0.769635663,0.239401348,-0.692937905,0.012657534,-0.826027347,0.452209736,-0.283571232,0.086592982,0.036685232,0
-0.222129949,-0.083679876,-1.634260949,-0.365511898,0.549572074,-0.132859424,0.262247674,-0.09045912,-0.160313592,0.261955924,0
0.713191351,1.56134762,1.766944568,-0.572482347,0.614874154,0.079880118,-0.403296366,0.837643037,0.174048368,-0.408193866,0
-0.967703315,-1.136029586,0.636397602,-0.638249547,-0.212180998,0.586935555,-0.318259382,0.374408331,-0.092271237,0.173356781,0
-0.116219881,0.802913682,-0.857756869,0.683426076,-0.366322861,-0.242634254,0.117854708,0.53335379,0.577586744,0.467204479,0
-0.286467422,-1.992497808,-0.280834132,-0.147186087,-0.076134148,-0.27417831,-0.162347871,-0.432111099,-0.210082738,-0.214225484,0
-1.506661459,0.7278581,0.70729074,0.420338243,1.21605392,0.408287697,-0.189371371,0.277669733,0.653440046,0.699599972,0
-0.056758855,-0.983811048,1.038537931,0.601768077,-0.448619233,1.066187462,-0.584953152,0.203396693,-0.457930072,0.035775307,0
0.516254622,0.389445354,-1.479643642,-0.61257021,0.438119885,0.43900924,0.229031296,-0.064124941,0.263530549,0.436310081,0
-0.658305504,0.489072477,-1.329610606,0.122941118,-0.046696534,-0.37723654,-0.626583919,0.24464536,-0.193768629,-0.330272956,0
0.125538911,0.3958594,1.290543575,0.283134556,1.011778648,0.603840033,1.342711815,-0.231910755,-0.698670198,0.141940736,0
-1.169672534,1.193305581,1.234909215,-0.365683797,0.970313027,0.260240655,0.220293706,-0.306757847,0.079137605,-0.330600181,0
0.560815776,1.42006182,0.011966841,0.37339269,-0.606252874,-0.835632646,0.464681877,-0.062645637,-0.516790821,0.052967265,0
1.126607305,1.324043946,-0.025129678,-0.295874444,-0.449898381,-0.249680247,0.432178024,-0.172605806,-0.466704287,0.298231523,0
-1.149998904,0.43107635,0.920226937,-0.295369552,0.00433153,-0.946618362,0.844418573,-0.839322221,-0.218283998,0.101253401,0
1.281137421,1.482427573,-0.235046052,0.963170844,-0.098058832,0.53298607,-0.349817157,-0.502075203,-0.421057742,-0.051324265,0
-0.889639152,0.757254821,-0.430289595,0.769908401,-0.11260781,-0.547584684,-0.027004926,0.084122778,0.721174699,-0.108329326,0
1.277100811,0.883284198,1.187152408,0.862344822,0.997222229,-0.290460918,0.30583079,0.493561554,-0.177482435,0.59143693,0
-0.524576328,1.24913103,1.635725824,-0.181009408,1.082884719,0.044452527,0.268024317,-0.402956765,-0.180176171,0.23783066,0
1.344541129,0.284575663,1.275036514,0.051054953,-0.150753242,0.068007093,-0.8922484,0.159170584,-0.314206027,0.197880954,0
-1.649787826,0.904866065,0.195643059,0.251649806,0.309210362,-0.444073074,-0.224941236,0.254220671,0.557926153,-0.379426771,0
-1.65175354,0.476596656,-0.84851658,0.436214157,0.223342199,-0.275095119,-0.217487526,0.288645986,0.338456622,-0.448566324,0
-1.069797171,0.602970979,-0.35106434,-0.41171341,-0.47939722,-0.18477267,-0.290739073,0.201568069,-0.102258822,-0.344464139,0
-0.794345541,-0.171064063,-1.559004488,-0.025859605,0.703040246,-0.121790557,0.219378235,-0.339742198,0.110878193,-0.035594691,0
-0.375448589,1.210543247,-1.100742512,-0.026306434,-0.543659059,0.310025684,-0.011594016,0.029060671,-0.396491101,0.206397807,0
-0.551706091,-0.075551059,-1.237829725,-0.143035696,-0.184847462,-0.211221597,-0.215372123,0.316053058,-0.478875534,0.230662945,0
-0.252378392,-0.330299315,-0.245051596,-0.065996211,0.242392711,0.044525154,0.602767531,0.216276391,-0.109364046,-0.072984654,0
-0.1538286,-0.821584343,-1.307979325,0.275600672,0.747652898,-0.065754488,-0.063389464,0.243634216,0.352362044,0.162801228,0
-0.900538139,-1.003479564,-1.347696273,-0.076141596,0.500418357,-0.191763473,-0.129504151,-0.368543667,0.0974751,0.379591347,0
-1.713694198,0.790596005,0.058626825,0.251994531,0.439277681,-0.426965943,0.026342353,-0.075869583,0.320012224,-0.104676203,0
-1.53102753,0.286575145,0.250490341,0.54929478,0.15760808,-0.013559932,-0.126900935,0.309840384,0.340546401,0.454963853,0
-0.779848051,0.860344303,0.290386586,-0.048813277,0.673343146,-0.494293459,0.125538739,0.211953761,0.966205677,1.31855296,0
-0.381093936,-0.209326488,-0.876055791,-0.687826682,-0.250260961,-0.42622134,-0.299034066,-0.331559732,0.063071478,0.54835262,0
0.18227833,-1.765544197,0.247691207,0.953433399,-0.274929101,-0.049314348,-0.164545914,0.25135345,-0.193882552,-0.055240079,0
-1.692324237,1.016032963,0.26838042,0.099224842,0.038691996,-0.774060412,0.768985103,0.31926199,0.48890127,-0.566182579,0
-0.806046913,-0.80584357,0.663475003,-1.09475474,0.687606342,0.842272544,-0.669354133,0.320799021,-0.436721244,-0.041662522,0
